hash,blockNumber,timeStamp,from,to,value_LPT
0x178b5f45f9ee731d5ec4cfc69ab8d609037d58e8acbb484f839cdb2baec82e5b,16673997,1676947499,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,462640.12799999997
0xf8f04c67e61e5825c24150a8e706614fa028f85269abeed6cfb09d420ff31852,16674086,1676948603,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,330738.272
0x65e51c1589f234303b21d1484163842ba8c10ca161afecd4c18814f029c2bdc0,16681061,1677033275,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,330738.272
0x45b88c747964fb3420ef3da1c9a0e253cec7b8f0b91497fb3cf269f92d813a9e,16703539,1677306647,0xf977814e90da44bfa03b6295a0616a897441acec,0x76f52d1ae6bbecd0c777185116954da424502f31,3366.0
0x143fc65e9feca3cc5d4a5d3895619fc86f263fbbc8b9b249a1e77eb33feb263e,16760191,1677994871,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,215904.516
0xff69b87079803831caf368ac72d1ca7994bca8a13a2ee70a822113e56d4a1a9f,16791502,1678375271,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,183609.967
0x1962f4c1f1e003f3aa8f6fc0838f1be376b9521949478e73f4055e41b1abd18f,16867863,1679302931,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf977814e90da44bfa03b6295a0616a897441acec,35304.096
0xa169cd018349ee01d7964c6b1dad37f0f81d5cc8ce3b8d49417a2cdf2798edcc,16867863,1679302931,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,226125.828
0x4b4fcd3895ed2fbbcbdee68388d0874fe903bce506a891c7cdba8dd9fb1b67ee,16890599,1679578895,0xf977814e90da44bfa03b6295a0616a897441acec,0x76f52d1ae6bbecd0c777185116954da424502f31,3184.9999999999995
0x56b553ab4230c3cfb4cf5d245c2d2a9f4ba2fdfdd5ef1b49996b8ff9e0dd92ea,17108287,1682244119,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,169024.071
0xd9885dc12839103dcd0f484052a48eaefa9a8202754ac1806559bdfe4ef51540,17116630,1682345171,0xf977814e90da44bfa03b6295a0616a897441acec,0x76f52d1ae6bbecd0c777185116954da424502f31,3535.0000000000005
0xf38463bf6761b4b0b0d97b6a977c286ab32b7c9e3f3242700f8b39329c202361,17116707,1682346095,0x6a23f4940bd5ba117da261f98aae51a8bffa210a,0xf977814e90da44bfa03b6295a0616a897441acec,12266.0
0x6d5421d45adabe2d009d00956d4c73893ce68463da7802f133964d1b0813ba30,17116708,1682346107,0x6a23f4940bd5ba117da261f98aae51a8bffa210a,0xf977814e90da44bfa03b6295a0616a897441acec,3184.9999999999995
0xfebb82811529fd089e6e90e272f124ae6a356a06c1e4e40c44c7c47c2bb5e2aa,17191739,1683257027,0x28c6c06298d514db089934071355e5743bf21d60,0xf977814e90da44bfa03b6295a0616a897441acec,146742.105
0x95f2bd0265d835460983cce8abfab25298151b3ddc537bb7035adcdc83960ace,17344107,1685114303,0xf977814e90da44bfa03b6295a0616a897441acec,0x76f52d1ae6bbecd0c777185116954da424502f31,4550.0
0x7ce8376403baf68baed107600dfd6b82d2304eb64d5cba5794119d97a606c347,17368112,1685405423,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,177525.58299999998
0x0d7619ec251693704af9493e24dfad32e2ae07cfd4575bd356796d36548680e6,17428085,1686135911,0xf977814e90da44bfa03b6295a0616a897441acec,0x28c6c06298d514db089934071355e5743bf21d60,500000.0
0xb7d0231be1eea53ef047048315480260a87b1276b62d5247d9d4f645eaa7b0a9,17441568,1686300227,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xf977814e90da44bfa03b6295a0616a897441acec,49514.042
0xbc126c20917e5f371fcf4e7a1b02205d5819b6eb277a49acc6a16509a48a328a,17441568,1686300227,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xf977814e90da44bfa03b6295a0616a897441acec,47582.727
